   1123 の	助詞,接続助詞,*,*,の,の,*
      6 JK	名詞,組織名,*,*,*,*,*
      6 D	名詞,組織名,*,*,*,*,*
      5 錬金術	名詞,普通名詞,*,*,錬金術,れんきんじゅつ,代表表記:錬金術/れんきんじゅつ カテゴリ:抽象物
      5 霊	名詞,普通名詞,*,*,霊,れい,代表表記:霊/れい 漢字読み:音 カテゴリ:抽象物 ドメイン:文化・芸術
      5 隣	名詞,普通名詞,*,*,隣,となり,代表表記:隣り/となり カテゴリ:場所-その他
      5 来た	動詞,*,カ変動詞来,タ形,来る,きた,代表表記:来る/くる 反義:動詞:帰る/かえる
      5 翼	名詞,普通名詞,*,*,翼,つばさ,代表表記:翼/つばさ 漢字読み:訓 カテゴリ:動物-部位
      5 無職	名詞,普通名詞,*,*,無職,むしょく,代表表記:無職/むしょく カテゴリ:抽象物 ドメイン:ビジネス
      5 放浪	名詞,サ変名詞,*,*,放浪,ほうろう,代表表記:放浪/ほうろう カテゴリ:抽象物
      5 不	接頭辞,ナ形容詞接頭辞,*,*,不,ふ,代表表記:不/ふ
      5 百合	名詞,普通名詞,*,*,百合,ゆり,代表表記:百合/ゆり カテゴリ:植物
      5 白	名詞,普通名詞,*,*,白,しろ,代表表記:白/しろ 漢字読み:訓 カテゴリ:色
      5 日	名詞,時相名詞,*,*,日,にち,代表表記:日/にち 漢字読み:音 カテゴリ:時間
      5 虹	名詞,普通名詞,*,*,虹,にじ,代表表記:虹/にじ カテゴリ:抽象物
      5 道具	名詞,普通名詞,*,*,道具,どうぐ,代表表記:道具/どうぐ カテゴリ:人工物-その他
      5 逃げ	動詞,*,母音動詞,基本連用形,逃げる,にげ,代表表記:逃げる/にげる 自他動詞:他:逃がす/にがす
      5 統一	名詞,サ変名詞,*,*,統一,とういつ,代表表記:統一/とういつ カテゴリ:抽象物
      5 奴	名詞,普通名詞,*,*,奴,やつ,代表表記:奴/やつ カテゴリ:人
      5 転	名詞,普通名詞,*,*,転,てん,代表表記:転/てん 漢字読み:音 カテゴリ:抽象物
      5 天下	名詞,普通名詞,*,*,天下,てんか,代表表記:天下/てんか カテゴリ:場所-その他
      5 的	接尾辞,形容詞性名詞接尾辞,ナ形容詞,語幹,的だ,てき,代表表記:的だ/てきだ 準内容語 カテゴリ:抽象物
      5 弟子	名詞,普通名詞,*,*,弟子,でし,代表表記:弟子/でし カテゴリ:人 ドメイン:文化・芸術
      5 調査	名詞,サ変名詞,*,*,調査,ちょうさ,代表表記:調査/ちょうさ カテゴリ:抽象物
      5 地球	名詞,普通名詞,*,*,地球,ちきゅう,代表表記:地球/ちきゅう カテゴリ:自然物
      5 題	名詞,普通名詞,*,*,題,だい,代表表記:題/だい 漢字読み:音 カテゴリ:抽象物
      5 息子	名詞,普通名詞,*,*,息子,むすこ,代表表記:息子/むすこ カテゴリ:人 ドメイン:家庭・暮らし
      5 装	名詞,普通名詞,*,*,装,そう,代表表記:装/そう 漢字読み:音 カテゴリ:抽象物
      5 創造	名詞,サ変名詞,*,*,創造,そうぞう,代表表記:創造/そうぞう カテゴリ:抽象物 反義:名詞-サ変名詞:模倣/もほう
      5 狙わ	動詞,*,子音動詞ワ行,未然形,狙う,ねらわ,代表表記:狙う/ねらう
      5 全	接頭辞,名詞接頭辞,*,*,全,ぜん,代表表記:全/ぜん 内容語
      5 選ば	動詞,*,子音動詞バ行,未然形,選ぶ,えらば,代表表記:選ぶ/えらぶ
      5 戦士	名詞,普通名詞,*,*,戦士,せんし,代表表記:戦士/せんし カテゴリ:人
      5 絶対	副詞,*,*,*,絶対,ぜったい,代表表記:絶対/ぜったい 修飾（ニ格）
      5 雪	名詞,普通名詞,*,*,雪,ゆき,代表表記:雪/ゆき 漢字読み:訓 カテゴリ:抽象物
      5 石	名詞,普通名詞,*,*,石,いし,代表表記:石/いし 漢字読み:訓 カテゴリ:自然物
      5 正義	名詞,普通名詞,*,*,正義,せいぎ,代表表記:正義/せいぎ カテゴリ:抽象物
      5 征服	名詞,サ変名詞,*,*,征服,せいふく,代表表記:征服/せいふく カテゴリ:抽象物 ドメイン:政治
      5 食	名詞,普通名詞,*,*,食,しょく,代表表記:食/しょく 漢字読み:音 カテゴリ:抽象物 ドメイン:料理・食事
      5 女の子	名詞,普通名詞,*,*,女の子,おんなのこ,代表表記:女の子/おんなのこ カテゴリ:人 ドメイン:家庭・暮らし
      5 呪い	名詞,普通名詞,*,*,呪い,まじない,代表表記:呪い/まじない カテゴリ:抽象物 ドメイン:文化・芸術;家庭・暮らし
      5 邪	名詞,普通名詞,*,*,邪,じゃ,代表表記:邪/じゃ 漢字読み:音 カテゴリ:抽象物
      5 自由	形容詞,*,ナ形容詞,語幹,自由だ,じゆう,代表表記:自由だ/じゆうだ
      5 時代	名詞,時相名詞,*,*,時代,じだい,代表表記:時代/じだい 弱時相名詞 カテゴリ:時間
      5 時	名詞,副詞的名詞,*,*,時,とき,代表表記:時/とき
      5 事件	名詞,普通名詞,*,*,事件,じけん,代表表記:事件/じけん カテゴリ:抽象物 ドメイン:政治
      5 詐欺	名詞,普通名詞,*,*,詐欺,さぎ,代表表記:詐欺/さぎ カテゴリ:抽象物 ドメイン:政治
      5 込ま	動詞,*,子音動詞マ行,未然形,込む,こま,代表表記:込む/こむ 付属動詞候補（基本） 反義:動詞:空く/すく
      5 行って	動詞,*,子音動詞カ行促音便形,タ系連用テ形,行く,いって,代表表記:行く/いく 付属動詞候補（タ系） ドメイン:交通 反義:動詞:帰る/かえる
      5 紅	名詞,普通名詞,*,*,紅,くれない,代表表記:紅/くれない 漢字読み:訓 カテゴリ:色
      5 幸せ	形容詞,*,ナ形容詞,語幹,幸せだ,しあわせ,代表表記:幸せだ/しあわせだ 反義:形容詞:不幸せだ/ふしあわせだ
      5 光	名詞,普通名詞,*,*,光,ひかり,代表表記:光/ひかり 漢字読み:訓 カテゴリ:抽象物
      5 後悔	名詞,サ変名詞,*,*,後悔,こうかい,代表表記:後悔/こうかい 補文ト カテゴリ:抽象物
      5 言って	動詞,*,子音動詞ワ行,タ系連用テ形,言う,いって,代表表記:言う/いう 補文ト
      5 元	名詞,人名,*,*,元,はじめ,人名:日本:名:250:0.00050
      5 経営	名詞,サ変名詞,*,*,経営,けいえい,代表表記:経営/けいえい カテゴリ:抽象物 ドメイン:ビジネス
      5 兄	名詞,普通名詞,*,*,兄,あに,代表表記:兄/あに 漢字読み:訓 カテゴリ:人 ドメイン:家庭・暮らし
      5 狂	動詞,*,子音動詞ワ行,語幹,狂う,くる,代表表記:狂う/くるう
      5 教師	名詞,普通名詞,*,*,教師,きょうし,代表表記:教師/きょうし カテゴリ:人 ドメイン:教育・学習
      5 強	形容詞,*,イ形容詞アウオ段,語幹,強い,つよ,代表表記:強い/つよい 反義:形容詞:弱い/よわい
      5 共に	副詞,*,*,*,共に,ともに,代表表記:共に/ともに
      5 旧	接頭辞,名詞接頭辞,*,*,旧,きゅう,代表表記:旧/きゅう 内容語
      5 求めて	動詞,*,母音動詞,タ系連用テ形,求める,もとめて,代表表記:求める/もとめる
      5 吸血	名詞,サ変名詞,*,*,吸血,吸血,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:吸血動物
      5 逆転	名詞,サ変名詞,*,*,逆転,ぎゃくてん,代表表記:逆転/ぎゃくてん カテゴリ:抽象物
      5 記憶	名詞,サ変名詞,*,*,記憶,きおく,代表表記:記憶/きおく カテゴリ:抽象物
      5 頑張り	動詞,*,子音動詞ラ行,基本連用形,頑張る,がんばり,代表表記:頑張る/がんばる 補文ト
      5 革命	名詞,普通名詞,*,*,革命,かくめい,代表表記:革命/かくめい カテゴリ:抽象物 ドメイン:政治
      5 回	接尾辞,名詞性名詞助数辞,*,*,回,かい,代表表記:回/かい 準内容語
      5 何故	副詞,*,*,*,何故,なぜ,代表表記:何故/なぜ
      5 下	名詞,普通名詞,*,*,下,した,代表表記:下/した 漢字読み:訓 カテゴリ:場所-機能
      5 音	名詞,普通名詞,*,*,音,おと,代表表記:音/おと 漢字読み:訓 カテゴリ:抽象物
      5 王様	名詞,普通名詞,*,*,王様,おうさま,代表表記:王様/おうさま カテゴリ:人
      5 引きこもり	動詞,*,子音動詞ラ行,基本連用形,引きこもる,ひきこもり,代表表記:引き籠る/ひきこもる
      5 一緒に	形容詞,*,ナノ形容詞,ダ列基本連用形,一緒だ,いっしょに,代表表記:一緒だ/いっしょだ
      5 為	名詞,副詞的名詞,*,*,為,ため,代表表記:為/ため
      5 闇	名詞,普通名詞,*,*,闇,やみ,代表表記:闇/やみ カテゴリ:抽象物
      5 愛さ	動詞,*,子音動詞サ行,未然形,愛す,あいさ,代表表記:愛す/あいす
      5 パーティ	名詞,普通名詞,*,*,パーティ,ぱーてぃ,代表表記:パーティー/ぱーてぃー カテゴリ:抽象物 ドメイン:レクリエーション
      5 ノ	名詞,人名,*,*,*,*,*
      5 ニート	名詞,普通名詞,*,*,ニート,ニート,自動獲得:Wikipedia Wikipedia上位語:造語/ぞうご
      5 ダンジョン	名詞,人名,*,*,*,*,*
      5 ステータス	名詞,普通名詞,*,*,ステータス,ステータス,自動獲得:Wikipedia Wikipediaリダイレクト:ステイタス 代表表記:ステイタス/ステイタス
      5 アイドル	名詞,普通名詞,*,*,アイドル,あいどる,代表表記:アイドル/あいどる カテゴリ:人 ドメイン:文化・芸術
      5 わたし	名詞,普通名詞,*,*,わたし,わたし,代表表記:私/わたし 漢字読み:訓 カテゴリ:人
      5 わ	助詞,終助詞,*,*,わ,わ,*
      5 り	接尾辞,名詞性名詞助数辞,*,*,り,り,連語
      5 もし	副詞,*,*,*,もし,もし,代表表記:もし/もし
      5 まで	助詞,格助詞,*,*,まで,まで,*
      5 まったり	動詞,*,子音動詞タ行,タ系連用タリ形,まつ,まったり,代表表記:待つ/まつ
      5 ばかり	助詞,副助詞,*,*,ばかり,ばかり,*
      5 のだ	助動詞,*,ナ形容詞,基本形,のだ,のだ,*
      5 にて	助詞,格助詞,*,*,にて,にて,*
      5 なんとか	副詞,*,*,*,なんとか,なんとか,代表表記:何とか/なんとか
      5 なったら	動詞,*,子音動詞ラ行,タ系条件形,なる,なったら,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する
      5 ながら	助詞,接続助詞,*,*,ながら,ながら,*
      5 つき	動詞,*,子音動詞カ行,基本連用形,つく,つき,代表表記:付く/つく 補文ト 付属動詞候補（基本） 自他動詞:他:付ける/つける
      5 ついて	動詞,*,子音動詞カ行,タ系連用テ形,つく,ついて,代表表記:付く/つく 補文ト 付属動詞候補（基本） 自他動詞:他:付ける/つける
      5 っ子	接尾辞,名詞性名詞接尾辞,*,*,っ子,っこ,代表表記:っ子/っこ
      5 そうです	助動詞,*,助動詞そうだ型,デス列基本形,そうだ,そうです,*
      5 せて	接尾辞,動詞性接尾辞,母音動詞,タ系連用テ形,せる,せて,代表表記:せる/せる
      5 すぎる	接尾辞,動詞性接尾辞,母音動詞,基本形,すぎる,すぎる,代表表記:過ぎる/すぎる
      5 しよう	動詞,*,サ変動詞,意志形,する,しよう,代表表記:する/する 付属動詞候補（基本） 自他動詞:自:成る/なる
      5 し	接尾辞,動詞性接尾辞,サ変動詞,基本連用形,する,し,代表表記:する/する
      5 こちら	指示詞,名詞形態指示詞,*,*,こちら,こちら,*
      5 こう	指示詞,副詞形態指示詞,*,*,こう,こう,*
      5 かも	助詞,接続助詞,*,*,かも,かも,*
      5 いる	動詞,*,母音動詞,基本形,いる,いる,代表表記:射る/いる
      5 いく	接尾辞,動詞性接尾辞,子音動詞カ行促音便形,基本形,いく,いく,代表表記:いく/いく
      5 ２	名詞,数詞,*,*,２,に,カテゴリ:数量
      5 ！！～	特殊,記号,*,*,*,*,*
      5 ！？～	特殊,記号,*,*,*,*,*
      5 the	名詞,組織名,*,*,*,*,*
      5 Online	名詞,組織名,*,*,*,*,*
      5 :	特殊,記号,*,*,*,*,*
      5 /	特殊,記号,*,*,*,*,*
      5 Ⅱ	名詞,数詞,*,*,*,*,*
      4 騙さ	動詞,*,子音動詞サ行,未然形,騙す,だまさ,代表表記:騙す/だます
      4 巫女	名詞,普通名詞,*,*,巫女,みこ,代表表記:巫女/みこ カテゴリ:人 ドメイン:文化・芸術
      4 狼	名詞,普通名詞,*,*,狼,おおかみ,代表表記:狼/おおかみ カテゴリ:動物
      4 裏	名詞,普通名詞,*,*,裏,うら,代表表記:裏/うら 漢字読み:訓 カテゴリ:場所-機能;抽象物
      4 理想	名詞,普通名詞,*,*,理想,りそう,代表表記:理想/りそう カテゴリ:抽象物 反義:名詞-普通名詞:現実/げんじつ
      4 落ちこぼれ	動詞,*,母音動詞,基本連用形,落ちこぼれる,おちこぼれ,代表表記:落ち零れる/おちこぼれる ドメイン:教育・学習
      4 来た	接尾辞,動詞性接尾辞,カ変動詞来,タ形,来る,きた,代表表記:来る/くる
      4 陽	名詞,人名,*,*,陽,あきら,人名:日本:名:663:0.00024
      4 有	名詞,普通名詞,*,*,有,ゆう,代表表記:有/ゆう 漢字読み:音 カテゴリ:抽象物
      4 勇	名詞,人名,*,*,勇,いさむ,人名:日本:名:47:0.00104
      4 問題	名詞,普通名詞,*,*,問題,もんだい,代表表記:問題/もんだい カテゴリ:抽象物
      4 目指して	動詞,*,子音動詞サ行,タ系連用テ形,目指す,めざして,代表表記:目指す/めざす
      4 目	名詞,普通名詞,*,*,目,め,代表表記:目/め 漢字読み:訓 カテゴリ:動物-部位
      4 名	名詞,普通名詞,*,*,名,な,代表表記:名/な 漢字読み:訓 カテゴリ:抽象物
      4 無い	形容詞,*,イ形容詞アウオ段,基本形,無い,ない,代表表記:無い/ない 反義:動詞:有る/ある
      4 眠り	動詞,*,子音動詞ラ行,基本連用形,眠る,ねむり,代表表記:眠る/ねむる ドメイン:家庭・暮らし 反義:動詞:覚める/さめる
      4 満喫	名詞,サ変名詞,*,*,満喫,まんきつ,代表表記:満喫/まんきつ カテゴリ:抽象物
      4 魔界	名詞,地名,*,*,魔界,魔界,自動獲得:テキスト 意味分類:地名:0.250;普通名詞その他:0.250;人:0.250;場所:0.250
      4 本物	名詞,普通名詞,*,*,本物,ほんもの,代表表記:本物/ほんもの カテゴリ:抽象物
      4 忙しい	形容詞,*,イ形容詞イ段,基本形,忙しい,いそがしい,代表表記:忙しい/いそがしい 反義:形容詞:暇だ/ひまだ
      4 宝	名詞,普通名詞,*,*,宝,たから,代表表記:宝/たから 漢字読み:訓 カテゴリ:人工物-その他
      4 武器	名詞,普通名詞,*,*,武器,ぶき,代表表記:武器/ぶき 〜を〜に構成語 カテゴリ:人工物-その他 ドメイン:政治
      4 彼方	名詞,普通名詞,*,*,彼方,かなた,代表表記:彼方/かなた カテゴリ:場所-機能;抽象物
      4 番	接尾辞,名詞性名詞助数辞,*,*,番,ばん,代表表記:番/ばん 準内容語
      4 白雪	名詞,普通名詞,*,*,白雪,はくせつ,代表表記:白雪/はくせつ カテゴリ:自然物
      4 日	接尾辞,名詞性名詞助数辞,*,*,日,にち,代表表記:日/にち 準内容語 カテゴリ:時間
      4 導か	動詞,*,子音動詞カ行,未然形,導く,みちびか,代表表記:導く/みちびく
      4 東方	名詞,普通名詞,*,*,東方,とうほう,代表表記:東方/とうほう カテゴリ:場所-その他
      4 店	名詞,普通名詞,*,*,店,てん,代表表記:店/てん 漢字読み:音 カテゴリ:場所-施設 ドメイン:ビジネス
      4 天然	名詞,普通名詞,*,*,天然,てんねん,代表表記:天然/てんねん 修飾（ニ格） カテゴリ:抽象物
      4 溺愛	名詞,普通名詞,*,*,溺愛,溺愛,自動獲得:テキスト
      4 的な	接尾辞,形容詞性名詞接尾辞,ナ形容詞,ダ列基本連体形,的だ,てきな,代表表記:的だ/てきだ 準内容語 カテゴリ:抽象物
      4 敵	名詞,普通名詞,*,*,敵,てき,代表表記:敵/てき 漢字読み:音 カテゴリ:人 反義:名詞-サ変名詞:味方/みかた
      4 帝国	名詞,普通名詞,*,*,帝国,ていこく,代表表記:帝国/ていこく 地名末尾 カテゴリ:場所-その他 ドメイン:政治
      4 追い出さ	動詞,*,子音動詞サ行,未然形,追い出す,おいださ,代表表記:追い出す/おいだす
      4 長	名詞,普通名詞,*,*,長,ちょう,代表表記:長/ちょう 漢字読み:音 カテゴリ:人
      4 仲間	名詞,普通名詞,*,*,仲間,なかま,代表表記:仲間/なかま カテゴリ:組織・団体
      4 地	名詞,普通名詞,*,*,地,ち,代表表記:地/ち 漢字読み:音 カテゴリ:場所-その他
      4 団	名詞,普通名詞,*,*,団,だん,代表表記:団/だん 漢字読み:音 カテゴリ:組織・団体
      4 短	接頭辞,名詞接頭辞,*,*,短,たん,代表表記:短/たん 内容語 換言:+N:Nが短い
      4 探索	名詞,サ変名詞,*,*,探索,たんさく,代表表記:探索/たんさく カテゴリ:抽象物 ドメイン:科学・技術
      4 大戦	名詞,普通名詞,*,*,大戦,たいせん,代表表記:大戦/たいせん カテゴリ:抽象物 ドメイン:政治
      4 退治	名詞,サ変名詞,*,*,退治,たいじ,代表表記:退治/たいじ カテゴリ:抽象物
      4 太陽	名詞,普通名詞,*,*,太陽,たいよう,代表表記:太陽/たいよう カテゴリ:自然物
      4 村人	名詞,普通名詞,*,*,村人,むらびと,代表表記:村人/むらびと カテゴリ:人
      4 存在	名詞,サ変名詞,*,*,存在,そんざい,代表表記:存在/そんざい カテゴリ:抽象物
      4 相談	名詞,サ変名詞,*,*,相談,そうだん,代表表記:相談/そうだん カテゴリ:抽象物
      4 相手	名詞,普通名詞,*,*,相手,あいて,代表表記:相手/あいて 〜を〜に構成語 カテゴリ:人
      4 想い	動詞,*,子音動詞ワ行,基本連用形,想う,おもい,代表表記:思う/おもう 補文ト
      4 奏でる	動詞,*,母音動詞,基本形,奏でる,かなでる,代表表記:奏でる/かなでる ドメイン:文化・芸術
      4 全員	名詞,普通名詞,*,*,全員,ぜんいん,代表表記:全員/ぜんいん カテゴリ:人
      4 前世	名詞,普通名詞,*,*,前世,ぜんせ,代表表記:前世/ぜんせ カテゴリ:時間 ドメイン:文化・芸術
      4 前	接尾辞,名詞性名詞接尾辞,*,*,前,まえ,代表表記:前/まえ 内容語
      4 戦闘	名詞,サ変名詞,*,*,戦闘,せんとう,代表表記:戦闘/せんとう カテゴリ:抽象物
      4 戦線	名詞,普通名詞,*,*,戦線,せんせん,代表表記:戦線/せんせん カテゴリ:抽象物 ドメイン:政治
      4 先輩	名詞,普通名詞,*,*,先輩,せんぱい,代表表記:先輩/せんぱい カテゴリ:人 ドメイン:教育・学習;ビジネス
      4 先生	名詞,普通名詞,*,*,先生,せんせい,代表表記:先生/せんせい 人名末尾 カテゴリ:人 ドメイン:教育・学習
      4 性	接尾辞,名詞性名詞接尾辞,*,*,性,せい,代表表記:性/せい 準内容語 カテゴリ:抽象物 同義:名詞:性質/せいしつ
      4 征	名詞,人名,*,*,*,*,*
      4 人形	名詞,普通名詞,*,*,人形,にんぎょう,代表表記:人形/にんぎょう カテゴリ:人工物-その他 ドメイン:家庭・暮らし
      4 神話	名詞,普通名詞,*,*,神話,しんわ,代表表記:神話/しんわ カテゴリ:抽象物 ドメイン:文化・芸術
      4 真	副詞,*,*,*,真,まこと,代表表記:真/まこと
      4 森	名詞,普通名詞,*,*,森,もり,代表表記:森/もり 漢字読み:訓 地名末尾 カテゴリ:場所-自然
      4 新	接頭辞,名詞接頭辞,*,*,新,しん,代表表記:新/しん 内容語 換言:+N:Nが新しい
      4 信	名詞,普通名詞,*,*,信,しん,代表表記:信/しん 漢字読み:音 カテゴリ:抽象物
      4 食堂	名詞,普通名詞,*,*,食堂,しょくどう,代表表記:食堂/しょくどう カテゴリ:場所-施設 ドメイン:料理・食事
      4 職	名詞,普通名詞,*,*,職,しょく,代表表記:職/しょく 漢字読み:音 カテゴリ:抽象物 ドメイン:ビジネス
      4 上げて	動詞,*,母音動詞,タ系連用テ形,上げる,あげて,代表表記:上げる/あげる 付属動詞候補（基本） 付属動詞候補（タ系） 自他動詞:自:上がる/あがる 反義:動詞:下ろす/おろす;動詞:降ろす/おろす
      4 上	名詞,副詞的名詞,*,*,上,うえ,代表表記:上/うえ
      4 少し	副詞,*,*,*,少し,すこし,代表表記:少し/すこし 相対名詞修飾 用言弱修飾 修飾（デ格）
      4 小さな	連体詞,*,*,*,小さな,ちいさな,代表表記:小さな/ちいさな 反義:連体詞:大きな/おおきな 形容詞派生:小さい/ちいさい
      4 所	名詞,普通名詞,*,*,所,しょ,代表表記:所/しょ 漢字読み:音 カテゴリ:場所-施設
      4 初恋	名詞,普通名詞,*,*,初恋,はつこい,代表表記:初恋/はつこい カテゴリ:抽象物 ドメイン:家庭・暮らし
      4 出る	動詞,*,母音動詞,基本形,出る,でる,代表表記:出る/でる 補文ト 自他動詞:他:出す/だす 反義:動詞:入る/はいる
      4 十	名詞,数詞,*,*,十,じゅう,カテゴリ:数量
      4 終わら	動詞,*,子音動詞ラ行,未然形,終わる,おわら,代表表記:終わる/おわる 付属動詞候補（基本） 自他動詞:他:終える/おえる 反義:動詞:始まる/はじまる
      4 拾わ	動詞,*,子音動詞ワ行,未然形,拾う,ひろわ,代表表記:拾う/ひろう 反義:動詞:捨てる/すてる
      4 呪わ	動詞,*,子音動詞ワ行,未然形,呪う,のろわ,代表表記:呪う/のろう
      4 狩り	動詞,*,子音動詞ラ行,基本連用形,狩る,かり,代表表記:狩る/かる
      4 捨て	動詞,*,母音動詞,未然形,捨てる,すて,代表表記:捨てる/すてる 付属動詞候補（基本） 反義:動詞:拾う/ひろう
      4 漆黒	名詞,普通名詞,*,*,漆黒,しっこく,代表表記:漆黒/しっこく カテゴリ:色
      4 室	名詞,普通名詞,*,*,室,しつ,代表表記:室/しつ 漢字読み:音 カテゴリ:場所-施設
      4 自由に	形容詞,*,ナ形容詞,ダ列基本連用形,自由だ,じゆうに,代表表記:自由だ/じゆうだ
      4 自分	名詞,普通名詞,*,*,自分,じぶん,代表表記:自分/じぶん 修飾（デ格） カテゴリ:人
      4 自称	名詞,サ変名詞,*,*,自称,じしょう,代表表記:自称/じしょう カテゴリ:抽象物
      4 自己	名詞,普通名詞,*,*,自己,じこ,代表表記:自己/じこ カテゴリ:抽象物
      4 耳	名詞,普通名詞,*,*,耳,みみ,代表表記:耳/みみ 漢字読み:訓 カテゴリ:動物-部位
      4 次元	名詞,普通名詞,*,*,次元,じげん,代表表記:次元/じげん カテゴリ:抽象物
      4 次	接尾辞,名詞性名詞助数辞,*,*,次,じ,代表表記:次/じ 準内容語
      4 持ち	動詞,*,子音動詞タ行,基本連用形,持つ,もち,代表表記:持つ/もつ
      4 死亡	名詞,サ変名詞,*,*,死亡,しぼう,代表表記:死亡/しぼう カテゴリ:抽象物 ドメイン:健康・医学;家庭・暮らし 反義:名詞-サ変名詞:出生/しゅっせい
      4 思った	動詞,*,子音動詞ワ行,タ形,思う,おもった,代表表記:思う/おもう 補文ト
      4 姉さん	名詞,普通名詞,*,*,姉さん,ねえさん,代表表記:姉さん/ねえさん カテゴリ:人 ドメイン:家庭・暮らし
      4 始め	動詞,*,母音動詞,基本連用形,始める,はじめ,代表表記:始める/はじめる 付属動詞候補（基本） 自他動詞:自:始まる/はじまる 反義:動詞:終える/おえる
      4 使って	動詞,*,子音動詞ワ行,タ系連用テ形,使う,つかって,代表表記:使う/つかう
      4 斬	動詞,*,子音動詞ラ行,語幹,斬る,き,代表表記:斬る/きる
      4 桜	名詞,普通名詞,*,*,桜,さくら,代表表記:桜/さくら 漢字読み:訓 カテゴリ:植物
      4 作る	動詞,*,子音動詞ラ行,基本形,作る,つくる,代表表記:作る/つくる
      4 作り	動詞,*,子音動詞ラ行,基本連用形,作る,つくり,代表表記:作る/つくる
      4 最後	形容詞,*,ナノ形容詞,語幹,最後だ,さいご,代表表記:最後だ/さいごだ 反義:形容詞:最初だ/さいしょだ
      4 困り	動詞,*,子音動詞ラ行,基本連用形,困る,こまり,代表表記:困る/こまる
      4 幸せに	形容詞,*,ナ形容詞,ダ列基本連用形,幸せだ,しあわせに,代表表記:幸せだ/しあわせだ 反義:形容詞:不幸せだ/ふしあわせだ
      4 好きな	形容詞,*,ナ形容詞,ダ列基本連体形,好きだ,すきな,代表表記:好きだ/すきだ 反義:形容詞:嫌いだ/きらいだ 動詞派生:好く/すく
      4 候補	名詞,普通名詞,*,*,候補,こうほ,代表表記:候補/こうほ 人名末尾 カテゴリ:抽象物
      4 後	接尾辞,名詞性名詞接尾辞,*,*,後,ご,代表表記:後/ご 内容語
      4 五	名詞,数詞,*,*,五,ご,カテゴリ:数量
      4 言葉	名詞,普通名詞,*,*,言葉,ことば,代表表記:言葉/ことば カテゴリ:抽象物
      4 幻想	名詞,サ変名詞,*,*,幻想,げんそう,代表表記:幻想/げんそう カテゴリ:抽象物
      4 見る	動詞,*,母音動詞,基本形,見る,みる,代表表記:見る/みる 補文ト 自他動詞:自:見える/みえる
      4 建国	名詞,サ変名詞,*,*,建国,けんこく,代表表記:建国/けんこく カテゴリ:抽象物 ドメイン:政治
      4 九	名詞,数詞,*,*,九,きゅう,カテゴリ:数量
      4 金	名詞,普通名詞,*,*,金,かね,代表表記:金/かね 漢字読み:訓 カテゴリ:人工物-金銭
      4 巨乳	名詞,普通名詞,*,*,巨乳,巨乳,自動獲得:テキスト 意味分類:普通名詞その他:0.889
      4 救い	動詞,*,子音動詞ワ行,基本連用形,救う,すくい,代表表記:救う/すくう ドメイン:健康・医学
      4 貴族	名詞,普通名詞,*,*,貴族,きぞく,代表表記:貴族/きぞく カテゴリ:人
      4 願い	動詞,*,子音動詞ワ行,基本連用形,願う,ねがい,代表表記:願う/ねがう
      4 頑張って	動詞,*,子音動詞ラ行,タ系連用テ形,頑張る,がんばって,代表表記:頑張る/がんばる 補文ト
      4 街	名詞,普通名詞,*,*,街,がい,代表表記:街/がい 漢字読み:音 カテゴリ:場所-その他
      4 開拓	名詞,サ変名詞,*,*,開拓,かいたく,代表表記:開拓/かいたく カテゴリ:抽象物
      4 怪物	名詞,普通名詞,*,*,怪物,かいぶつ,代表表記:怪物/かいぶつ カテゴリ:動物
      4 回避	名詞,サ変名詞,*,*,回避,かいひ,代表表記:回避/かいひ カテゴリ:抽象物
      4 化け物	名詞,普通名詞,*,*,化け物,ばけもの,代表表記:化け物/ばけもの カテゴリ:抽象物
      4 炎	名詞,普通名詞,*,*,炎,えん,代表表記:炎/えん 漢字読み:音 カテゴリ:抽象物
      4 一般	名詞,普通名詞,*,*,一般,いっぱん,代表表記:一般/いっぱん カテゴリ:抽象物 反義:形容詞:特殊だ/とくしゅだ
      4 違う	動詞,*,子音動詞ワ行,基本形,違う,ちがう,代表表記:違う/ちがう 付属動詞候補（基本） 自他動詞:他:違える/ちがえる 反義:形容詞:同じだ/おなじだ
      4 位	接尾辞,名詞性名詞助数辞,*,*,位,い,代表表記:位/い 準内容語
      4 愛し	動詞,*,子音動詞サ行,基本連用形,愛す,あいし,代表表記:愛す/あいす
      4 ──	特殊,記号,*,*,*,*,*
      4 ルート	名詞,普通名詞,*,*,ルート,るーと,代表表記:ルート/るーと カテゴリ:場所-施設;抽象物 ドメイン:交通;教育・学習 多義
      4 ラブ	名詞,普通名詞,*,*,ラブ,らぶ,代表表記:ラブ/らぶ カテゴリ:抽象物
      4 ラノベ	名詞,普通名詞,*,*,ラノベ,ラノベ,自動獲得:Wikipedia Wikipediaリダイレクト:ライトノベル
      4 モンスター	名詞,人名,*,*,*,*,*
      4 バトル	名詞,普通名詞,*,*,バトル,バトル,自動獲得:Wikipedia Wikipedia多義
      4 ギルド	名詞,普通名詞,*,*,ギルド,ぎるど,代表表記:ギルド/ぎるど カテゴリ:組織・団体
      4 ガチャ	名詞,普通名詞,*,*,ガチャ,ガチャ,自動獲得:Wikipedia Wikipediaリダイレクト:カプセルトイ
